Device,Plant,Truss,Total flowers,Budding,Transition B to O,Open,Closed,Setting,Treated(Y/N),Difference
E,3,101,17,12,3,2,,,n,0
E,3,102,20,20,,,,,n,0
E,3,201,28,20,4,4,,,n,0
E,3,202,25,24,1,,,,n,0
E,4,101,18,12,4,2,,,n,0
E,4,201,17,11,3,3,,,n,0
E,4,202,13,13,,,,,n,0
E,5,101,14,14,,,,,n,0
E,5,201,16,13,,3,,,n,0
E,6,101,15,12,3,,,,n,0
E,6,201,25,15,4,5,1,,n,0
E,7,101,7,2,1,4,,,n,0
E,7,201,7,4,2,1,,,n,0
E,8,101,8,5,2,1,,,n,0
E,8,201,6,3,1,2,,,n,0
E,8,202,7,7,,,,,n,0
E,9,101,7,4,2,1,,,n,0
F,1,101,49,30,8,5,6,,n,0
F,1,102,14,11,3,,,,n,0
F,1,201,16,7,4,1,4,,n,0
F,1,202,14,13,1,,,,n,0
F,2,101,17,11,4,2,,,n,0
F,2,201,16,11,3,1,1,,n,0
F,3,101,15,11,3,1,,,n,0
F,3,201,17,11,3,1,2,,n,0
F,4,101,27,13,5,3,3,3,n,0
F,4,102,16,11,3,0,2,,n,0
F,4,201,15,6,3,1,2,3,n,0
F,4,202,16,12,3,1,,,n,0
F,5,101,31,20,5,,4,2,n,0
F,5,102,16,12,4,,,,n,0
F,5,202,15,13,2,,,,n,0
F,6,101,16,9,4,2,1,,n,0
F,6,201,14,7,2,1,1,3,n,0
F,6,202,16,12,4,,,,n,0
F,7,101,8,3,2,3,,,n,0
F,7,201,8,4,2,1,1,,n,0
F,7,202,7,7,,,,,n,0
F,8,201,7,4,2,1,,,n,0
F,9,101,7,3,2,2,,,n,0
F,9,201,6,1,4,1,,,n,0
F,9,202,8,8,,,,,n,0
F,10,101,8,1,3,2,1,1,n,0
F,10,102,8,8,,,,,n,0
F,10,201,8,4,2,2,,,n,0
F,11,101,7,3,2,2,,,n,0
F,11,201,7,0,2,2,2,1,n,0
F,11,202,6,6,,,,,n,0
