Device,Plant,Truss,Total_flowers,Budding,Transition_B_to_O,Open,Closed,Setting,Broken_Sets,Out_of_Sequence,Test_Year,Test_Month,Test_Day
6,5,201,24.0,14.0,6.0,4.0,0.0,0.0,0.0,0,247968,246,2337
6,6,101,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0,247968,246,2337
6,6,201,9.0,6.0,2.0,1.0,0.0,0.0,0.0,0,247968,246,2337
6,7,101,6.0,5.0,1.0,0.0,0.0,0.0,0.0,0,247968,246,2337
6,7,201,9.0,8.0,1.0,0.0,0.0,0.0,0.0,0,247968,246,2337
6,8,101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,247968,246,2337
6,8,201,6.0,4.0,2.0,0.0,0.0,0.0,0.0,0,247968,246,2337
6,9,101,8.0,6.0,2.0,0.0,0.0,0.0,0.0,0,247968,246,2337
6,9,201,6.0,4.0,2.0,0.0,0.0,0.0,0.0,0,247968,246,2337
6,10,101,8.0,5.0,2.0,1.0,0.0,0.0,0.0,0,247968,246,2337
6,10,201,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0,247968,246,2337
6,11,101,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0,247968,246,2337
6,11,201,6.0,3.0,3.0,0.0,0.0,0.0,0.0,0,247968,246,2337
1,1,101,11.0,10.0,1.0,0.0,0.0,0.0,0.0,0,290304,288,3168
1,1,201,14.0,10.0,3.0,1.0,0.0,0.0,0.0,0,290304,288,3168
1,2,101,16.0,10.0,4.0,2.0,0.0,0.0,0.0,0,290304,288,3168
1,2,201,14.0,8.0,3.0,3.0,0.0,0.0,0.0,0,290304,288,3168
1,3,101,16.0,9.0,5.0,2.0,0.0,0.0,0.0,0,290304,288,3168
1,3,102,12.0,11.0,1.0,0.0,0.0,0.0,0.0,0,290304,288,3168
1,3,201,16.0,11.0,4.0,1.0,0.0,0.0,0.0,0,290304,288,3168
1,4,101,18.0,11.0,4.0,3.0,0.0,0.0,0.0,0,290304,288,3168
1,4,102,13.0,12.0,1.0,0.0,0.0,0.0,0.0,0,290304,288,3168
1,4,201,16.0,11.0,3.0,2.0,0.0,0.0,0.0,0,290304,288,3168
1,4,202,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0,290304,288,3168
1,5,101,15.0,9.0,4.0,2.0,0.0,0.0,0.0,0,290304,288,3168
1,5,102,13.0,12.0,1.0,0.0,0.0,0.0,0.0,0,290304,288,3168
1,5,201,30.0,21.0,7.0,2.0,0.0,0.0,0.0,0,290304,288,3168
1,6,101,16.0,10.0,4.0,2.0,0.0,0.0,0.0,0,290304,288,3168
1,6,201,26.0,18.0,5.0,3.0,0.0,0.0,0.0,0,290304,288,3168
1,6,202,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0,290304,288,3168
1,7,101,19.0,17.0,2.0,0.0,0.0,0.0,0.0,0,290304,288,3168
1,7,201,25.0,17.0,6.0,2.0,0.0,0.0,0.0,0,290304,288,3168
1,8,101,14.0,10.0,2.0,2.0,0.0,0.0,0.0,0,290304,288,3168
