Device,Plant,Truss,Total flowers,Budding,Transition B to O,Open,Closed,Setting,Broken Sets,Treated(Y/N),Difference
A,8,102,18,3,3,3,1,8,,,0
A,8,103,19,9,3,2,5,,,,0
A,8,104,15,12,3,,,,,,0
A,8,201,20,3,3,1,2,10,1,,0
A,8,202,19,7,2,2,3,5,,,0
A,8,203,42,29,7,3,3,,,,0
A,8,204,12,11,1,,,,,,0
A,9,101,7,1,,1,1,4,,,0
A,9,102,6,1,2,3,,,,,0
A,9,201,7,,,1,,6,,,0
A,9,202,7,1,1,4,1,,,,0
A,10,101,8,1,,,1,5,1,,0
A,10,102,7,2,2,,1,2,,,0
A,10,103,7,5,2,,,,,,0
A,10,201,7,,,,2,5,,,0
A,10,202,7,1,3,3,,,,,0
A,11,101,8,2,,1,2,3,,,0
A,11,102,7,6,,1,,,,,0
A,11,201,8,1,1,1,1,4,,,0
A,11,202,7,3,3,1,,,,,0
A,12,101,8,2,,1,2,3,,,0
A,12,102,8,2,3,3,,,,,0
A,12,201,8,1,,,,7,,,0
A,12,202,7,1,1,2,1,2,,,0
A,12,203,6,4,2,,,,,,0
A,13,101,8,3,,1,1,3,,,0
A,13,102,7,4,2,1,,,,,0
A,13,201,8,,1,1,2,4,,,0
A,13,202,8,3,2,3,,,,,0
A,14,101,7,,,1,,5,1,,0
A,14,102,7,,,1,2,4,,,0
A,14,103,7,2,2,3,,,,,0
A,14,201,7,,,,2,5,,,0
A,14,202,8,2,2,3,1,,,,0
B,1,101,18,3,1,1,3,9,1,,0
B,1,102,17,3,3,4,1,6,,,0
B,1,103,17,8,3,3,3,,,,0
B,1,104,15,11,3,1,,,,,0
B,1,201,16,3,,,1,10,2,,0
B,1,202,28,9,3,6,2,8,,,0
B,1,203,16,8,3,2,2,1,,,0
B,1,204,14,11,2,1,,,,,0
B,2,101,21,4,1,3,2,9,2,,0
B,2,102,19,6,3,2,1,7,,,0
B,2,103,19,10,3,5,1,,,,0
B,2,104,15,13,2,,,,,,0
B,2,201,16,,1,1,1,11,2,,0
B,2,202,18,5,3,3,2,4,1,,0
B,2,203,13,5,2,4,2,,,,0
B,2,204,11,10,1,,,,,,0
B,3,101,19,3,3,3,1,6,3,,0
B,3,102,18,6,2,4,3,3,,,0
B,3,103,15,9,3,3,,,,,0
B,3,201,21,3,2,3,,12,1,,0
B,3,202,21,7,3,3,2,6,,,0
B,3,203,19,10,3,5,1,,,,0
B,3,204,11,8,3,,,,,,0
B,4,102,17,5,2,3,3,3,1,,0
B,4,103,15,7,3,5,,,,,0
B,4,104,19,16,3,,,,,,0
B,4,201,16,4,,2,2,7,1,,0
B,4,202,13,4,3,3,2,1,,,0
B,4,203,14,9,2,3,,,,,0
B,5,101,20,3,2,1,4,9,1,,0
B,5,102,20,6,3,3,2,6,,,0
B,5,103,18,10,3,2,3,,,,0
B,5,104,14,12,2,,,,,,0
B,5,201,19,4,3,2,2,8,,,0
B,5,202,17,8,3,2,4,,,,0
B,5,203,14,12,2,,,,,,0
B,6,101,18,2,1,1,2,7,5,,0
B,6,102,18,4,3,3,3,5,,,0
B,6,103,18,9,3,3,3,,,,0
B,6,104,15,13,2,,,,,,0
B,6,201,17,5,2,2,4,4,,,0
B,6,202,14,6,2,2,4,,,,0
B,6,203,12,10,2,,,,,,0
B,7,101,36,4,4,3,5,20,,,0
B,7,102,19,5,3,3,2,6,,,0
B,7,103,14,6,2,2,4,,,,0
B,7,104,12,10,2,,,,,,0
B,7,201,20,4,3,1,3,6,3,,0
B,7,202,16,5,2,2,4,3,,,0
B,7,203,15,9,3,1,2,,,,0
B,8,101,19,4,2,1,2,10,,,0
B,8,102,21,9,2,2,3,5,,,0
B,8,103,16,10,2,3,1,,,,0
B,9,101,7,,,2,4,1,,,0
B,9,102,6,3,,3,,,,,0
B,9,201,7,,,,3,4,,,0
B,9,202,7,1,2,1,,3,,,0
B,9,203,7,5,2,,,,,,0
B,10,101,8,,,2,4,2,,,0
B,10,102,8,1,1,4,2,,,,0
B,10,103,7,3,3,1,,,,,0
B,10,201,7,,,,7,,,,0
B,10,202,8,,2,4,2,,,,0
B,10,203,7,4,2,1,,,,,0
B,11,101,6,1,1,,4,,,,0
B,11,201,8,1,,1,1,5,,,0
B,11,202,7,1,2,2,2,,,,0
B,12,101,8,1,,,1,6,,,0
B,12,102,7,2,,1,2,2,,,0
B,12,103,7,4,3,,,,,,0
B,12,201,8,,,1,,7,,,0
B,12,202,8,2,1,2,2,1,,,0
B,12,203,8,7,1,,,,,,0
B,13,101,8,1,1,,1,5,,,0
B,13,201,8,1,,1,1,5,,,0
B,13,202,8,3,2,2,1,,,,0
B,14,101,7,1,,,1,5,,,0
B,14,102,7,3,1,2,,1,,,0
B,14,201,7,,,1,1,5,,,0
B,14,202,7,3,2,1,1,,,,0
B,14,203,6,6,,,,,,,0
C,1,101,39,11,2,3,2,19,2,,0
C,1,102,17,6,2,1,2,6,,,0
C,1,103,15,7,3,2,2,1,,,0
C,1,104,14,12,2,,,,,,0
C,1,201,38,9,2,6,,19,2,,0
C,1,202,19,5,2,3,2,7,,,0
C,1,203,16,8,2,3,2,1,,,0
C,1,204,14,12,2,,,,,,0
C,2,101,23,7,3,4,,9,,,0
C,2,102,18,8,2,4,2,2,,,0
C,2,103,16,11,3,2,,,,,0
C,2,201,21,7,2,2,2,8,,,0
C,2,202,19,10,3,2,3,1,,,0
C,2,203,14,11,3,,,,,,0
C,3,101,19,3,2,2,1,10,1,,0
C,3,102,17,5,3,4,,5,,,0
C,3,103,14,7,3,3,1,,,,0
C,3,201,19,6,2,3,,7,1,,0
C,3,202,18,9,2,3,2,2,,,0
C,3,203,14,10,3,1,,,,,0
C,4,101,21,3,3,2,1,10,2,,0
C,4,102,19,5,2,4,1,7,,,0
C,4,103,19,9,3,3,3,,1,,0
C,4,104,15,11,4,,,,,,0
C,4,201,38,7,4,3,3,21,,,0
C,4,202,19,5,3,3,2,6,,,0
C,4,203,16,8,3,3,2,,,,0
C,4,204,12,10,2,,,,,,0
C,5,101,21,4,2,2,2,10,1,,0
C,5,102,16,4,4,1,1,6,,,0
C,5,103,16,9,3,2,2,,,,0
C,5,201,30,7,,4,3,16,,,0
C,5,202,16,5,2,4,2,3,,,0
C,5,203,13,8,3,2,,,,,0
C,6,101,18,5,2,1,2,8,,,0
C,6,102,16,7,1,2,2,4,,,0
C,6,103,13,8,2,3,,,,,0
C,6,201,19,4,2,1,2,10,,,0
C,6,202,16,5,3,3,2,3,,,0
C,6,203,12,7,3,2,,,,,0
C,7,101,35,6,3,3,7,15,1,,0
C,7,102,17,5,3,2,2,2,3,,0
C,7,103,17,9,2,3,3,,,,0
C,7,104,14,12,2,,,,,,0
C,7,201,32,3,3,1,5,19,1,,0
C,7,202,19,6,3,1,2,7,,,0
C,7,203,17,9,3,3,1,1,,,0
C,7,204,12,10,2,,,,,,0
C,8,101,18,3,2,,3,10,,,0
C,8,102,17,5,3,1,2,6,,,0
C,8,103,16,10,2,3,1,,,,0
C,8,201,33,6,4,,6,17,,,0
C,8,202,19,6,3,4,1,5,,,0
C,8,203,16,10,2,3,1,,,,0
C,9,101,8,2,,,1,5,,,0
C,9,102,7,1,1,3,2,,,,0
C,9,201,8,1,,3,1,3,,,0
C,9,202,6,1,2,3,,,,,0
C,10,101,7,2,,,1,4,,,0
C,10,102,7,2,2,3,,,,,0
C,10,201,7,1,,,1,5,,,0
C,11,101,6,,,,,6,,,0
C,11,102,7,1,2,2,2,,,,0
C,11,103,7,7,,,,,,,0
C,11,201,8,1,,,1,6,,,0
C,11,202,8,2,1,2,2,1,,,0
C,11,203,7,7,,,,,,,0
C,12,101,8,4,,,,3,1,,0
C,12,102,7,3,,1,1,2,,,0
C,12,201,7,1,,,1,5,,,0
C,12,202,7,2,2,1,2,,,,0
C,13,101,8,2,,,1,5,,,0
C,13,102,7,3,1,3,,,,,0
C,13,201,8,1,1,,1,5,,,0
C,13,202,4,,1,3,,,,,0
C,14,101,7,1,,,1,5,,,0
C,14,102,8,2,2,1,3,,,,0
C,14,103,7,7,,,,,,,0
C,14,201,8,1,,,,7,,,0
C,14,202,7,1,2,1,3,,,,0
C,14,203,7,7,,,,,,,0
E,1,101,20,5,3,5,2,5,,,0
E,1,102,17,5,3,7,1,1,,,0
E,1,103,17,11,3,3,,,,,0
E,1,201,21,6,3,1,6,4,1,,0
E,1,202,17,7,2,4,3,1,,,0
E,1,203,15,10,3,2,,,,,0
E,2,101,9,2,1,,3,2,1,,0
E,2,102,15,7,2,6,,,,,0
E,2,103,15,11,3,1,,,,,0
E,2,201,16,5,2,3,5,1,,,0
E,2,202,13,7,3,3,,,,,0
E,2,203,20,19,1,,,,,,0
E,3,101,16,3,2,3,2,6,,,0
E,3,102,25,13,4,8,,,,,0
E,3,103,15,10,3,2,,,,,0
E,3,201,29,9,,5,2,11,2,,0
E,3,202,27,12,4,7,3,1,,,0
E,3,203,12,5,3,3,,,1,,0
E,3,204,25,25,,,,,,,0
E,4,101,19,5,2,5,1,6,,,0
E,4,102,16,7,3,5,,,1,,0
E,4,103,15,12,3,,,,,,0
E,4,201,20,4,3,5,2,4,2,,0
E,4,202,19,9,2,4,4,,,,0
E,4,203,15,11,3,1,,,,,0
E,5,101,18,7,1,6,2,2,,,0
E,5,102,14,9,,5,,,,,0
E,5,103,10,10,,,,,,,0
E,5,201,16,5,1,3,1,4,2,,0
E,5,202,16,8,1,6,1,,,,0
E,5,203,12,9,1,2,,,,,0
E,6,101,16,5,2,6,1,1,1,,0
E,6,102,13,6,3,2,2,,,,0
E,6,103,13,10,3,,,,,,0
E,6,201,27,9,,3,3,11,1,,0
E,6,202,15,4,1,3,2,4,1,,0
E,6,203,20,9,4,6,1,,,,0
E,6,204,34,29,4,1,,,,,0
E,7,101,8,2,,,2,4,,,0
E,7,102,6,4,,2,,,,,0
E,7,201,7,3,,1,2,1,,,0
E,7,202,7,6,1,,,,,,0
E,8,101,9,3,1,1,,4,,,0
E,8,102,9,4,3,2,,,,,0
E,8,201,7,1,,2,4,,,,0
E,8,202,8,2,3,3,,,,,0
E,9,101,7,,1,3,1,2,,,0
E,9,102,8,3,3,2,,,,,0
F,1,101,50,12,7,3,2,26,,,0
F,1,102,20,7,3,1,2,7,,,0
F,1,103,16,9,3,1,2,1,,,0
F,1,104,14,13,1,,,,,,0
F,1,201,13,,,,1,11,1,,0
F,1,202,17,5,3,1,2,6,,,0
F,1,203,15,9,3,1,2,,,,0
F,1,204,13,13,,,,,,,0
F,2,101,21,7,3,,2,9,,,0
F,2,102,19,10,3,1,2,3,,,0
F,2,103,16,14,2,,,,,,0
F,2,201,18,5,3,,1,9,,,0
F,2,202,17,9,3,1,2,2,,,0
F,2,203,13,13,,,,,,,0
F,3,101,19,8,3,,1,7,,,0
F,3,102,20,14,3,1,2,,,,0
F,3,103,13,13,,,,,,,0
F,3,201,20,6,3,1,,10,,,0
F,3,202,18,10,2,,3,3,,,0
F,3,203,14,12,2,,,,,,0
F,4,101,25,5,,,1,19,,,0
F,4,102,18,5,2,1,1,9,,,0
F,4,103,16,8,2,2,1,2,1,,0
F,4,104,13,12,1,,,,,,0
F,4,201,19,5,1,,,12,1,,0
F,4,202,20,9,1,1,1,8,,,0
F,4,203,18,11,3,1,3,,,,0
F,4,204,15,15,,,,,,,0
F,5,101,32,6,3,1,3,19,,,0
F,5,102,19,7,2,1,1,8,,,0
F,5,103,17,10,3,1,2,1,,,0
F,5,104,14,14,,,,,,,0
F,5,201,44,11,,1,3,27,2,,0
F,5,202,19,8,2,1,1,7,,,0
F,5,203,16,10,3,1,1,1,,,0
F,5,204,13,13,,,,,,,0
F,6,101,19,5,3,1,2,8,,,0
F,6,102,17,8,3,1,3,2,,,0
F,6,103,14,13,1,,,,,,0
F,6,201,15,2,,,,10,3,,0
F,6,202,19,6,3,1,2,7,,,0
F,6,203,16,10,3,1,2,,,,0
F,6,204,11,11,,,,,,,0
F,7,101,8,1,,,1,6,,,0
F,7,201,8,2,,,,6,,,0
F,7,202,7,2,1,1,1,2,,,0
F,8,201,7,3,,,1,3,,,0
F,8,202,7,4,3,,,,,,0
F,9,101,7,,,1,,6,,,0
F,9,102,7,2,2,1,2,,,,0
F,9,201,8,2,,,1,5,,,0
F,9,202,8,3,2,1,2,,,,0
F,10,101,8,,,1,,7,,,0
F,10,102,8,1,2,1,,4,,,0
F,10,103,8,6,2,,,,,,0
F,10,201,8,1,,1,1,5,,,0
F,10,202,8,3,2,1,2,,,,0
F,10,203,7,7,,,,,,,0
F,11,101,7,1,,,1,5,,,0
F,11,102,7,3,2,2,,,,,0
F,11,201,8,1,,,,7,,,0
F,11,202,7,2,1,,1,3,,,0
F,11,203,7,6,1,,,,,,0
