Device,Plant,Truss,Total flowers,Budding,Transition B to O,Open,Closed,Setting,Broken Sets,Out of Sequence,Treated(Y/N)
B,8,102,22,4,1,1,,16,,,
B,8,103,18,6,1,2,,7,2,,
B,8,104,8,2,,3,,3,,,
B,8,201,15,3,1,2,1,8,,,
B,8,202,16,8,1,3,1,3,,,
B,9,101,7,,,,,7,,1,
B,9,102,6,,,,,3,,,
B,9,103,5,,,,,,,,
B,9,201,7,,,,,4,3,,
B,9,202,7,,,,,6,,,
B,9,203,7,,,,,,,,
B,10,101,8,,,,,8,,2,
B,10,102,8,,,,,3,,,
B,10,103,8,,,,,,,,
B,10,104,7,,,,,,,,
B,10,201,7,,,,,6,,3,
B,10,202,8,,,,,4,,,
B,10,203,8,,,,,,,,
B,10,204,8,,,,,,,,
B,11,101,6,,,,,1,,,
B,11,201,7,,,,,7,,1,
B,11,202,7,,,,,6,,,
B,11,203,7,,,,,,,,
B,12,101,7,,,,,5,,,
B,12,102,6,,,,,4,,,
B,12,103,6,,,,,1,,,
B,12,201,8,,,,,4,,,
B,12,202,6,,,,,5,,1,
B,12,203,6,,,,,2,,,
B,13,101,7,,,,,3,,,
B,13,102,7,,,,,,,,
B,13,201,8,,,,,7,,,
B,13,202,8,,,,,3,,,
B,13,203,8,,,,,,,,
B,14,101,7,,,,,5,,1,
B,14,102,7,,,,,2,,,
B,14,103,6,,,,,,,,
B,14,201,7,,,,,7,,,
B,14,202,7,,,,,2,,,
B,14,203,7,,,,,6,,,
C,1,101,37,8,,,,27,2,1,
C,1,102,17,5,,,,12,,,
C,1,103,15,5,1,,,9,,,
C,1,104,14,5,1,2,1,5,,,
C,1,201,36,7,,,,27,2,,
C,1,202,18,3,,,1,14,,,
C,1,203,17,4,,2,,11,,,
C,1,204,13,4,,3,1,5,,,
C,2,101,22,2,,1,1,18,,,
C,2,102,19,3,,2,1,13,,,
C,2,103,17,3,2,3,,9,,,
C,2,201,20,4,,,,16,,,
C,2,202,18,4,,2,1,11,,,
C,2,203,14,3,3,2,,6,,,
C,3,101,20,3,0,0,,16,1,,
C,3,102,17,3,0,0,1,13,,,
C,3,103,15,5,0,1,,9,,,
C,3,104,17,7,3,2,,5,,,
C,3,201,19,3,1,0,,14,1,,
C,3,202,17,4,0,1,,12,,,
C,3,203,14,4,1,2,,7,,,
C,3,205,15,8,2,3,1,1,,,
C,4,101,20,2,0,,,16,2,,
C,4,102,19,1,0,2,,16,,,
